Field;Type;Required;ExposeInReporting;Usage;Description;;
CaseNumber;string;optional;YES;264;"Human readable case number. Not needed to create an audit.

Archieve

relation to original casenumber

When is casenumber generated, should we care about original case number field in sanako etc?";;
UserId;ObjectId?;required;YES;156;"The ID of the user who created the audit. It is often used to determine the Department https://docs.google.com/document/d/10AXTmgUoqCfsmvi7bZVtsyZMqwCIwZ5lmYaH48_Qxuk/edit?usp=sharing

For cases that are converted we need to link the cases to Cubit users. This mapping must be done after users are created in Cubit. So before conversion the users that exiting cases should be mapped to must be present in Cubit at time of conversion.
";;
AssignedTo;ObjectId?;optional;NO;89;The ID of the user assigned to the audit. https://docs.google.com/document/d/10AXTmgUoqCfsmvi7bZVtsyZMqwCIwZ5lmYaH48_Qxuk/edit?usp=sharing could we use this instead of userId + username for onboarded cases without user?;;
UserName;string;optional;YES;15;The username of the person who created the audit. This field is used for converted audits where there is no userid for the audit. Then this name will show in UI.  https://docs.google.com/document/d/10AXTmgUoqCfsmvi7bZVtsyZMqwCIwZ5lmYaH48_Qxuk/edit?usp=sharing;;
Type;string;required;YES;371;"The type of audit.
El types: periodic, newperiodic, verification, revision, elrevision, marketcontrol, groundfault, groundfaultcase, adminitrative, externalgroundfault, concern, documentcontrol, elrevision, extension, fireinvestigation, marketcontrol, mass_communication, newperiodic, siteinspection

Fire types: sweep, sweep_and_fire, fire, specificfire, other_audit, service_assignment, concern. Asked Erling to give a writeup of what all of our types are for";;
Status;string;required;YES;275;"The current status of the audit. Default value is ""active""

Valid statuses: active, done, resolution, approved, approvednoerrors, approvedwitherrors, cancelled, missed, disconnected

When an audit is created its get status active.

Status cannot be evaluated without looking at planneddate, starteddate and documents in correspondance";;
Contacts;List<Contact>;required;YES;206;contacts for the case: the customer of electic plant, owners of housing units. Documents and communication made by the case are going towards these contacts ;;
Targets;List<Target>;required;YES;306;targets meaning the physical object that audit being done towards: electrical plants, housing units, chimneys, companies;;
Started;DateTime?;optional;YES;131;Start date of the audit. When a button to start it is actually pressed;;
PlannedTime;DateTime?;required;YES;140;Planned time for the audit. when its planned in calendar, This date affects the sending of notice document;;
DeadLineDate;DateTime?;optional;YES;92;"its when the next time feedback on the audit has to be received; first time its amount of days taken from the caseflow";;
ResolutionBy;ObjectId?;optional;YES;37;if resolution document is sent in correspondance it means resolution has passed;;
ResolutionByName;string;optional;YES;6;if resolution document is sent in correspondance it means resolution has passed;;
ResolutionDate;DateTime?;optional;YES;29;if resolution document is sent in correspondance it means resolution has passed;;
CheckList;CheckList;optional;YES;; a list of things that need to be checked on the audit according to a law, they constantly are being updated year over year;;
RoomTypes;List<RoomType>;optional;YES;;terrible name, this is a structure of errors found during the audit. it contains structure caleld found errors, and all those errors also include fixes and correction data. Order of the data  is important. this requires a separate google doc and proper documentation;;
Activities;List<AuditActivity>;optional;YES;dreamware;Do need Oyvin to write docs about this;;
Correspondance;List<AuditCorrespondance>;optional;YES;;all documents related to a case  thats delivered from the system to customers;;
ElCompanyTefts;List<string>;optional;NO;26;Extremely wrong name for what it is, probably historic reasons since start of the first audit object. In general field holds list of values that we call themes that are related to certain types of audits. Algorithm of how they are picked is complex and not all audit types have it https://docs.google.com/document/d/1O01vcGl0XBEnTqEb1c_nKIrvPfHYeBqdE7otA31xK3Y/edit;;
ContextHints;List<string>;optional;YES;33;"these context hints is a list if string-keys that impacts logic, for example  [
        ""sms5days"",
        ""sms2days""
    ] means that smses were sent 5days and 2 days before, something like ""nodocuments"" is often used for converted cases meaning that documents wouldnt go out  by automated processes, mostly is used to control document sending, and most important flag is the ""noducuments"" during onboarding process";;
ExtraValues;Dictionary<string, string>;optional;NO;83;key value pairs stored, it is used for new framework to store alll the answers. Also can be and should be used to store any context values, many of the fields in this entire list could just be an extra value instead of its own standalone field;;
TransferredToSambasOn;DateTime?;optional;NO;;when did the transfer of Sambas took place;;
SambasTransferId;int?;optional;NO;;-1 for all done case or closed, null for active cases;;
SambasFile;string;optional;NO;;transfer file is an actual xml  structure that we send to Sambas;;
DocumentCategories;List<DocumentCategory>;optional;NO;;when DLE approves document control, each category represented in a field DocumentControlReasons are approved seperately and information for each category ;;
FormData;FormData;optional;NO;;Cubit forms skjema.cubit.no when forms are submitted they generated audits of type applicaiton/notice from citizens towards cubit customers, this field holds the submitted values of the form that is later used to show the details, upon approval add or remove certain values;;
